MistoPoskytovaniId,ZdravotnickeZarizeniId,Kod,NazevZarizeni,DruhZarizeni,Obec,Psc,Ulice,CisloDomovniOrientacni,Kraj,KrajCode,Okres,OkresCode,SpravniObvod,PoskytovatelTelefon,PoskytovatelFax,PoskytovatelEmail,PoskytovatelWeb,Ico,TypOsoby,PravniFormaKod,KrajCodeSidlo,OkresCodeSidlo,ObecSidlo,PscSidlo,UliceSidlo,CisloDomovniOrientacniSidlo,OborPece,FormaPece,DruhPece,OdbornyZastupce,Lat,Lng
248001,178352,28511298604000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Postoloprty,43942,Mírové náměstí,70,Ústecký kraj,CZ042,Louny,CZ0424,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.360664012238,13.6996700551
247280,177720,28511298596000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Lovosice,,Siřejovická,,Ústecký kraj,CZ042,Litoměřice,CZ0423,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",,
246038,176652,49621173325000,"BENU Česká republika s.r.o., BENU lékárna",Lékárna,Varnsdorf,40747,Pražská,2951,Ústecký kraj,CZ042,Děčín,CZ0421,,420212812812,420212812812,info@benu.cz,http://www.benu.cz,49621173,2,112,CZ010,CZ0100,Praha 15,10200,K pérovně,945/7,praktické lékárenství,,lékárenská péče,Radek Machan,50.906166158269,14.618711005757
245562,176264,28511298579000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Teplice,41501,náměstí Svobody,3316,Ústecký kraj,CZ042,Teplice,CZ0426,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.639543923464,13.824029727403
245397,176129,2674602004000,"ALERGO MUDr. Kloc s.r.o., Lékárna BENU",Lékárna,Děčín,40502,Bezručova,790/5,Ústecký kraj,CZ042,Děčín,CZ0421,,420323631320,,alergo@cbox.cz,https://mudrkloc.webnode.cz/,2674602,2,112,CZ010,CZ0100,Praha 10,10200,K pérovně,945/7,praktické lékárenství,,lékárenská péče,KARIN STRUBICHOVÁ,50.773860397507,14.198111848567
245396,176128,2674602003000,"ALERGO MUDr. Kloc s.r.o., Lékárna BENU",Lékárna,Lovosice,41002,Školní,455/5,Ústecký kraj,CZ042,Litoměřice,CZ0423,,420323631320,,alergo@cbox.cz,https://mudrkloc.webnode.cz/,2674602,2,112,CZ010,CZ0100,Praha 10,10200,K pérovně,945/7,praktické lékárenství,,lékárenská péče,KARIN STRUBICHOVÁ,50.514324030979,14.050587828033
244391,175237,28511298561000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Ústí nad Labem,40007,U Pivovarské zahrady,793/5,Ústecký kraj,CZ042,Ústí nad Labem,CZ0427,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.667657985423,14.075887064957
244151,175033,19322941000000,Lékárna Orchidej s.r.o.,Lékárna,Litoměřice,41201,Želetická,2210/19,Ústecký kraj,CZ042,Litoměřice,CZ0423,,,,,,19322941,2,112,CZ080,CZ0805,Vítkov,74901,náměstí Jana Zajíce,6,praktické lékárenství,,lékárenská péče,PharmDr. MIROSLAVA ČAPKOVÁ,50.526496861723,14.139050686012
243517,174504,49621173292000,"BENU Česká republika s.r.o., BENU Lékárna",Lékárna,Teplice,41501,Nákladní,3201,Ústecký kraj,CZ042,Teplice,CZ0426,,420212812812,420212812812,info@benu.cz,http://www.benu.cz,49621173,2,112,CZ010,CZ0100,Praha 15,10200,K pérovně,945/7,praktické lékárenství,,lékárenská péče,Radek Machan,50.645489223926,13.822635995184
243479,174480,28511298556000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Bílina,41801,Nábřeží,469,Ústecký kraj,CZ042,Teplice,CZ0426,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.552751999853,13.772315323634
